epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,608.014,0.34486,0.51394,0.23965,0.83844,0.97415,0.98176,0.99366,0.9151,0.97415,0.98176,0.99366,0.88403,0.45548,0.76768,0.23558,0.87822,0.000154096,0.000154096,0.000154096
89,616.754,0.33582,0.51036,0.22901,0.83368,0.97067,0.99073,0.99362,0.9131,0.97067,0.99073,0.99362,0.88908,0.45517,0.77002,0.23704,0.87963,0.000143097,0.000143097,0.000143097
90,625.314,0.34685,0.49382,0.22931,0.8396,0.97578,0.98475,0.99361,0.91244,0.97578,0.98475,0.99361,0.89013,0.45927,0.76935,0.23511,0.88144,0.000132098,0.000132098,0.000132098
91,644.145,0.30501,0.47379,0.20804,0.80719,0.97949,0.98695,0.99376,0.91131,0.97949,0.98695,0.99376,0.88642,0.46419,0.76425,0.23461,0.88501,0.000121099,0.000121099,0.000121099
92,651.422,0.29969,0.47279,0.2061,0.80313,0.97799,0.98775,0.99415,0.91134,0.97799,0.98775,0.99415,0.88783,0.46929,0.76,0.23023,0.89018,0.0001101,0.0001101,0.0001101
93,657.622,0.29855,0.47285,0.198,0.81001,0.97908,0.98757,0.99419,0.91334,0.97908,0.98757,0.99419,0.88879,0.46962,0.75821,0.22971,0.89137,9.91012e-05,9.91012e-05,9.91012e-05
94,663.641,0.29033,0.46774,0.19722,0.80391,0.97924,0.98527,0.99387,0.91191,0.97924,0.98527,0.99387,0.88968,0.46456,0.7632,0.23058,0.88996,8.81023e-05,8.81023e-05,8.81023e-05
95,669.622,0.30166,0.47072,0.19776,0.79969,0.97923,0.98518,0.99353,0.91358,0.97923,0.98518,0.99353,0.88969,0.46217,0.77107,0.23556,0.88871,7.71034e-05,7.71034e-05,7.71034e-05
96,676.112,0.29473,0.46118,0.19311,0.80266,0.97851,0.98388,0.99315,0.91341,0.97851,0.98388,0.99315,0.89045,0.46083,0.77476,0.23517,0.88749,6.61045e-05,6.61045e-05,6.61045e-05
97,682.335,0.29148,0.45839,0.19194,0.79389,0.96959,0.99121,0.99305,0.91316,0.96959,0.99121,0.99305,0.8909,0.46169,0.7739,0.23525,0.88706,5.51056e-05,5.51056e-05,5.51056e-05
98,690.75,0.29057,0.45937,0.19106,0.7971,0.9724,0.99034,0.99288,0.91332,0.9724,0.99034,0.99288,0.88967,0.46234,0.77386,0.23638,0.88688,4.41067e-05,4.41067e-05,4.41067e-05
99,698.897,0.29071,0.46317,0.18795,0.80133,0.97188,0.99085,0.99286,0.91323,0.97188,0.99085,0.99286,0.89019,0.46172,0.77213,0.23416,0.88646,3.31078e-05,3.31078e-05,3.31078e-05
100,707.395,0.28346,0.45605,0.17964,0.80248,0.97212,0.99204,0.99267,0.9151,0.97212,0.99204,0.99267,0.88894,0.46097,0.77317,0.23342,0.88562,2.21089e-05,2.21089e-05,2.21089e-05
