epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,691.915,0.04673,0.05505,0.16055,0.78889,0.98321,0.98959,0.99281,0.9622,0.98321,0.98959,0.99281,0.90312,0.05467,0.0667,0.18269,0.81767,0.000786571,0.000786571,0.000786571
85,700.109,0.0473,0.05577,0.16044,0.79361,0.98114,0.99031,0.99338,0.96319,0.98164,0.99082,0.9934,0.90672,0.05606,0.06465,0.17775,0.81757,0.000784,0.000784,0.000784
86,708.3,0.04673,0.05412,0.15903,0.79034,0.98116,0.98969,0.99276,0.96457,0.98166,0.9902,0.99278,0.9042,0.0545,0.06713,0.17615,0.81531,0.000781429,0.000781429,0.000781429
87,716.508,0.04665,0.05383,0.15925,0.79077,0.98742,0.98627,0.99303,0.96603,0.98742,0.98627,0.99303,0.90207,0.05243,0.06551,0.17771,0.8118,0.000778857,0.000778857,0.000778857
88,724.697,0.04636,0.05382,0.15888,0.78859,0.98895,0.98328,0.99299,0.96567,0.98895,0.98328,0.99299,0.90316,0.05341,0.06678,0.17547,0.81253,0.000776286,0.000776286,0.000776286
89,732.855,0.0469,0.05407,0.15813,0.78975,0.97796,0.99066,0.99286,0.964,0.97796,0.99066,0.99286,0.90285,0.05398,0.06621,0.17776,0.81294,0.000773714,0.000773714,0.000773714
90,740.998,0.04675,0.05365,0.15709,0.78994,0.97986,0.99152,0.99352,0.96509,0.97986,0.99152,0.99352,0.90495,0.05413,0.06688,0.17512,0.81124,0.000771143,0.000771143,0.000771143
91,749.192,0.04664,0.05459,0.15929,0.79264,0.97801,0.99282,0.99318,0.96478,0.97801,0.99282,0.99318,0.90463,0.05472,0.06475,0.17705,0.81245,0.000768571,0.000768571,0.000768571
92,757.365,0.04584,0.05343,0.15829,0.7914,0.98312,0.99151,0.99273,0.96457,0.98312,0.99151,0.99273,0.90634,0.05269,0.06766,0.17213,0.81239,0.000766,0.000766,0.000766
93,765.529,0.04664,0.05372,0.15955,0.79097,0.98248,0.99076,0.99272,0.96713,0.98248,0.99076,0.99272,0.9025,inf,0.06741,0.17787,0.81253,0.000763429,0.000763429,0.000763429
94,773.699,0.04688,0.05427,0.16087,0.78823,0.97952,0.99229,0.99359,0.96356,0.97952,0.99229,0.99359,0.90116,0.05379,0.06515,0.18474,0.81445,0.000760857,0.000760857,0.000760857
95,781.903,0.0471,0.05288,0.16129,0.78822,0.98401,0.98799,0.99297,0.9632,0.98401,0.98799,0.99297,0.90157,0.05419,0.06544,0.18002,0.81271,0.000758286,0.000758286,0.000758286
96,790.105,0.04693,0.05404,0.16068,0.78897,0.9858,0.98679,0.99255,0.96568,0.9858,0.98679,0.99255,0.89602,0.05184,0.06584,0.17795,0.80847,0.000755714,0.000755714,0.000755714
97,798.29,0.04634,0.05355,0.15695,0.7899,0.9873,0.99025,0.99281,0.96377,0.9873,0.99025,0.99281,0.90423,0.05224,0.06495,0.1705,0.80983,0.000753143,0.000753143,0.000753143
98,806.491,0.04552,0.05272,0.15575,0.78923,0.98747,0.98943,0.99323,0.9667,0.98747,0.98943,0.99323,0.90655,0.05204,0.06569,0.17306,0.80774,0.000750571,0.000750571,0.000750571
99,814.858,0.04642,0.05402,0.15855,0.78723,0.98149,0.99289,0.99286,0.96437,0.98149,0.99289,0.99286,0.90249,0.05481,0.06747,0.17859,0.81295,0.000748,0.000748,0.000748
100,823.023,0.04599,0.0527,0.15668,0.7883,0.98414,0.9906,0.99261,0.966,0.98414,0.9906,0.99261,0.90214,0.05276,0.06984,0.17285,0.81208,0.000745429,0.000745429,0.000745429
101,831.2,0.04654,0.05393,0.15757,0.79049,0.98424,0.98683,0.99288,0.96511,0.98424,0.98683,0.99288,0.90403,0.05528,0.06996,0.17593,0.81568,0.000742857,0.000742857,0.000742857
102,839.368,0.04568,0.05238,0.15454,0.79023,0.98062,0.99301,0.99288,0.96322,0.98062,0.99301,0.99288,0.90438,0.05648,0.06702,0.18279,0.81744,0.000740286,0.000740286,0.000740286
103,847.571,0.04641,0.05337,0.15829,0.78903,0.98743,0.98747,0.99312,0.9632,0.98743,0.98747,0.99312,0.89904,0.05381,0.06809,0.1783,0.81626,0.000737714,0.000737714,0.000737714
104,855.76,0.04646,0.0541,0.15757,0.78991,0.98272,0.99098,0.99303,0.96688,0.98272,0.99098,0.99303,0.90312,0.05207,0.06561,0.17217,0.81311,0.000735143,0.000735143,0.000735143
105,863.934,0.04541,0.05297,0.15512,0.78854,0.97931,0.99288,0.99328,0.96511,0.97931,0.99288,0.99328,0.89968,0.05298,0.06684,0.17687,0.81401,0.000732571,0.000732571,0.000732571
106,872.156,0.04533,0.05236,0.15524,0.78759,0.97884,0.9925,0.99271,0.9635,0.97884,0.9925,0.99271,0.90324,0.05477,0.06619,0.17993,0.81178,0.00073,0.00073,0.00073
107,880.312,0.04549,0.05277,0.15261,0.78902,0.98114,0.99208,0.99267,0.96387,0.98114,0.99208,0.99267,0.90393,0.05397,0.06724,0.17647,0.81427,0.000727429,0.000727429,0.000727429
108,888.505,0.04574,0.05342,0.15409,0.78893,0.98458,0.98791,0.99284,0.9611,0.98458,0.98791,0.99284,0.90407,0.05591,0.06517,0.18218,0.81217,0.000724857,0.000724857,0.000724857
109,896.719,0.04596,0.05369,0.15616,0.78937,0.98071,0.98734,0.99255,0.96427,0.98071,0.98734,0.99255,0.89795,0.05204,0.06536,0.1787,0.81013,0.000722286,0.000722286,0.000722286
110,904.876,0.04509,0.05183,0.15479,0.78964,0.98254,0.98646,0.99331,0.96591,0.98254,0.98646,0.99331,0.90022,0.05127,0.06654,0.17405,0.81417,0.000719714,0.000719714,0.000719714
111,913.057,0.04524,0.05279,0.15534,0.78884,0.97834,0.99164,0.99347,0.96391,0.97834,0.99164,0.99347,0.89953,0.05169,0.06737,0.18014,0.81414,0.000717143,0.000717143,0.000717143
112,921.226,0.04592,0.05284,0.15531,0.78655,0.97908,0.98798,0.99329,0.96301,0.97908,0.98798,0.99329,0.90316,0.05316,0.06716,0.17767,0.81675,0.000714571,0.000714571,0.000714571
