epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,1481.46,0.04237,0.0526,0.14876,0.7944,0.98618,0.98531,0.99297,0.9677,0.98618,0.98531,0.99297,0.95285,0.05116,0.07249,0.18362,0.82568,0.000838,0.000838,0.000838
65,1504.37,0.04184,0.05259,0.14809,0.79197,0.98627,0.98881,0.99313,0.96732,0.98627,0.98881,0.99313,0.95538,0.05156,0.07067,0.18714,0.82655,0.000835429,0.000835429,0.000835429
66,1527.29,0.04246,0.05366,0.15047,0.79671,0.98867,0.98613,0.99279,0.96762,0.98867,0.98613,0.99279,0.95423,0.05053,0.07071,0.18535,0.82351,0.000832857,0.000832857,0.000832857
67,1550.19,0.04212,0.05387,0.15027,0.79593,0.98666,0.98408,0.99327,0.9698,0.98666,0.98408,0.99327,0.95532,0.05005,0.06995,0.18553,0.8209,0.000830286,0.000830286,0.000830286
68,1573.15,0.04167,0.05274,0.14948,0.79452,0.98201,0.98849,0.99318,0.96777,0.98201,0.98849,0.99318,0.95768,0.05144,0.06999,0.19312,0.81649,0.000827714,0.000827714,0.000827714
69,1596.29,0.04124,0.05261,0.14817,0.79284,0.98493,0.98773,0.99298,0.96748,0.98493,0.98773,0.99298,0.95667,0.05108,0.07008,0.18722,0.81543,0.000825143,0.000825143,0.000825143
70,1619.25,0.04258,0.05316,0.15013,0.79666,0.98638,0.99085,0.99335,0.96813,0.98638,0.99085,0.99335,0.95551,0.0519,0.0697,0.18503,0.81735,0.000822571,0.000822571,0.000822571
71,1642.23,0.04233,0.05332,0.14958,0.79098,0.98411,0.99313,0.99329,0.9687,0.98411,0.99313,0.99329,0.95456,0.05075,0.06928,0.17689,0.81708,0.00082,0.00082,0.00082
72,1665.19,0.04176,0.0524,0.14903,0.79655,0.98064,0.99131,0.99304,0.96771,0.98064,0.99131,0.99304,0.95551,0.05023,0.06846,0.18239,0.81874,0.000817429,0.000817429,0.000817429
73,1688.12,0.04177,0.05241,0.14912,0.79357,0.98237,0.98514,0.99268,0.96895,0.98237,0.98514,0.99268,0.95666,0.04937,0.07021,0.18193,0.81445,0.000814857,0.000814857,0.000814857
74,1711.14,0.04065,0.05128,0.14411,0.79064,0.98484,0.98778,0.99227,0.96811,0.98484,0.98778,0.99227,0.95455,0.05035,0.0711,0.18041,0.81984,0.000812286,0.000812286,0.000812286
75,1734.05,0.04054,0.05161,0.14438,0.79075,0.98475,0.98748,0.99218,0.96772,0.98475,0.98748,0.99218,0.95545,0.05035,0.06959,0.18562,0.82446,0.000809714,0.000809714,0.000809714
76,1757,0.04081,0.05153,0.14541,0.79343,0.9861,0.98729,0.99372,0.9702,0.9861,0.98729,0.99372,0.95565,0.04948,0.07119,0.18094,0.82485,0.000807143,0.000807143,0.000807143
77,1780.19,0.04086,0.05213,0.14529,0.79167,0.98683,0.98785,0.99273,0.96548,0.98683,0.98785,0.99273,0.95434,0.05229,0.07194,0.18697,0.82878,0.000804571,0.000804571,0.000804571
78,1803.13,0.04048,0.05086,0.14365,0.79315,0.98781,0.98306,0.99279,0.96681,0.98781,0.98306,0.99279,0.95592,0.05188,0.07009,0.18441,0.83189,0.000802,0.000802,0.000802
79,1826.17,0.0407,0.05187,0.14347,0.79298,0.98391,0.99022,0.99351,0.96795,0.98391,0.99022,0.99351,0.95545,0.05103,0.06997,0.18395,0.83013,0.000799429,0.000799429,0.000799429
80,1849.13,0.04039,0.05148,0.13995,0.79531,0.98658,0.98568,0.9929,0.96639,0.98658,0.98568,0.9929,0.95529,0.0522,0.07125,0.19126,0.82833,0.000796857,0.000796857,0.000796857
