epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,596.657,0.22797,0.25607,0.18041,0.79335,0.97534,0.9838,0.99208,0.95588,0.97512,0.98359,0.99186,0.94076,0.28131,0.33527,0.20453,0.77526,0.000572054,0.000572054,0.000572054
51,608.468,0.22713,0.25387,0.18001,0.79623,0.97115,0.98751,0.9901,0.95566,0.97099,0.98864,0.99008,0.93719,0.27633,0.34146,0.20588,0.77684,0.000561055,0.000561055,0.000561055
52,620.212,0.22681,0.25725,0.17744,0.79041,0.97883,0.9845,0.99195,0.95745,0.97885,0.98452,0.99182,0.94005,0.26949,0.32728,0.19619,0.775,0.000550056,0.000550056,0.000550056
53,631.934,0.2193,0.24964,0.17462,0.79204,0.98057,0.9831,0.99203,0.95754,0.97974,0.98369,0.99187,0.93722,0.27012,0.34096,0.19016,0.77655,0.000539057,0.000539057,0.000539057
54,643.662,0.21185,0.24762,0.1697,0.78887,0.98253,0.98321,0.99271,0.95771,0.98232,0.98299,0.99246,0.93868,0.2664,0.32735,0.19171,0.77423,0.000528058,0.000528058,0.000528058
55,655.486,0.20954,0.24447,0.16859,0.7909,0.97855,0.98418,0.99205,0.95851,0.97829,0.98399,0.9918,0.93449,0.26421,0.34018,0.19009,0.77386,0.000517059,0.000517059,0.000517059
56,667.299,0.20907,0.24533,0.16817,0.79076,0.97915,0.98431,0.99222,0.95898,0.97894,0.98409,0.99199,0.93787,0.26639,0.34491,0.19158,0.77495,0.00050606,0.00050606,0.00050606
57,679.067,0.2094,0.24294,0.16673,0.78903,0.9786,0.98251,0.99267,0.95543,0.97838,0.9823,0.99245,0.9335,0.27761,0.34971,0.19871,0.77699,0.000495062,0.000495062,0.000495062
58,690.798,0.21,0.24657,0.16628,0.79052,0.97707,0.98481,0.99246,0.95542,0.97686,0.9846,0.99243,0.93567,0.27834,0.35263,0.1971,0.77703,0.000484063,0.000484063,0.000484063
59,702.704,0.21501,0.2408,0.17027,0.79206,0.97884,0.98197,0.9917,0.95543,0.97841,0.98155,0.99145,0.93453,0.27384,0.34731,0.20007,0.7763,0.000473064,0.000473064,0.000473064
60,714.452,0.20725,0.23751,0.16508,0.79031,0.97549,0.98632,0.99158,0.95748,0.97507,0.98589,0.99123,0.93184,0.27268,0.35947,0.19191,0.77508,0.000462065,0.000462065,0.000462065
61,726.189,0.20085,0.23385,0.1598,0.78931,0.98185,0.97931,0.99183,0.95458,0.98166,0.97911,0.99118,0.92789,0.27462,0.37579,0.19234,0.77668,0.000451066,0.000451066,0.000451066
62,737.959,0.20376,0.23485,0.16042,0.78959,0.98048,0.97987,0.99122,0.95215,0.9805,0.97989,0.99096,0.92433,0.29177,0.39311,0.19943,0.77839,0.000440067,0.000440067,0.000440067
